sizeof(int64_t)=8 sizeof(char)1
return new_buf:909193600 100663045
return new_buf:6568506 6566192
return new_buf:69218609 270385
return new_buf:12337 242
return new_buf:3748145 3748145
return new_buf:822116325 808525872
return new_buf:824193329 824193300
return new_buf:536936672 536936449
return new_buf:12337 100
return new_buf:1 1
return new_buf:925184049 925184048
return new_buf:15073407 48
return new_buf:808464432 808464432
return new_buf:805432369 805432369
return new_buf:268448049 268448016
return new_buf:8339505 4864
return new_buf:67121169 67114769
return new_buf:8397351 32770
return new_buf:100 55
return new_buf:14 14
return new_buf:65505 65505
return new_buf:8403514 8403456
return new_buf:808465201 3178496
return new_buf:8355711 32512
return new_buf:808464433 808464433
return new_buf:3158304 720896
return new_buf:77873 65537
return new_buf:1441857 256
return new_buf:959527200 540645945
return new_buf:16717825 3219505
return new_buf:540090417 8192
return new_buf:33428790 256
return new_buf:11022760 43057
return new_buf:8376624 4096
return new_buf:825241876 825241861
return new_buf:3158272 100
return new_buf:808529969 12337
return new_buf:808464433 456142912
return new_buf:892810805 892810805
return new_buf:808530190 1835008
return new_buf:808529968 806756381
return new_buf:4784128 18432
return new_buf:1048625 27
return new_buf:548675764 15204352
return new_buf:808460645 12336
return new_buf:825307393 3244032
return new_buf:59 34
return new_buf:3219505 2156547
return new_buf:12328 12328
return new_buf:137437233 2090
return new_buf:3219511 3219505
return new_buf:808464433 536931071
return new_buf:536870961 3158064
return new_buf:808530737 3158323
return new_buf:50331648 768
return new_buf:69 69
return new_buf:813641777 813641777
return new_buf:7748 2
return new_buf:941625649 656412997
return new_buf:33015 33015
return new_buf:959985976 1113856
return new_buf:824193073 824193073
return new_buf:808464767 808464641
return new_buf:808464385 3219505
return new_buf:12337 12288
return new_buf:808494129 65536
return new_buf:3276572 3276572
return new_buf:352354303 16777240
return new_buf:64512 16
return new_buf:824209708 824209708
return new_buf:825241649 808464656
return new_buf:15740977 61440
return new_buf:687865888 2699264
return new_buf:808464433 808464432
return new_buf:655496 655409
return new_buf:536879104 536879104
return new_buf:268435456 2031616
return new_buf:808464432 808464432
return new_buf:284163856 284163855
return new_buf:73 73
return new_buf:462164223 6250436
return new_buf:824193073 824193073
return new_buf:808464768 3158065
return new_buf:824187732 824187675
return new_buf:875575594 875568220
return new_buf:3236915 9
return new_buf:131170 128
return new_buf:522125312 522125312
return new_buf:909194801 540095871
return new_buf:67109888 254208
return new_buf:4217956 16384
return new_buf:808468529 16384
return new_buf:1165616 2048
return new_buf:824246143 520093696
return new_buf:3158065 3149824
return new_buf:541075505 536871184
return new_buf:808529969 808529969
return new_buf:1048576 240
return new_buf:3158065 5376
return new_buf:545754425 15400960
return new_buf:5124144 5111808
return new_buf:808464433 808464433
return new_buf:4272262 18
return new_buf:16 14
return new_buf:12741 12741
return new_buf:100 100
return new_buf:3158065 3840
return new_buf:6619142 3328
return new_buf:824193073 824193072
return new_buf:4141104 212
return new_buf:808484657 808484641
return new_buf:49 28
return new_buf:14592 29
return new_buf:12601 4096
return new_buf:2929 32
return new_buf:8388917 8388608
return new_buf:3178495 851968
return new_buf:826093617 825307136
return new_buf:4269105 2306101
return new_buf:20971584 20971520
return new_buf:3276085 589824
return new_buf:540098687 57344
return new_buf:808464753 808452096
return new_buf:3758166 64
return new_buf:16777087 203
return new_buf:858857521 1060912
return new_buf:798812 798812
return new_buf:8454143 8454143
return new_buf:12318 3584
return new_buf:892403505 471871536
return new_buf:32896 128
return new_buf:808464689 808464689
return new_buf:48300769 37229184
return new_buf:268435556 12288
return new_buf:824193073 812459496
return new_buf:808857649 4206592
return new_buf:3162925 1000
return new_buf:271650865 5929728
return new_buf:49 1
return new_buf:6143 8
return new_buf:3158065 3158016
return new_buf:540028976 540028960
return new_buf:16757041 8389632
return new_buf:12593 64
return new_buf:283770880 268461311
return new_buf:808464433 808460336
return new_buf:540094513 255
return new_buf:540029219 540028962
return new_buf:22754348 22751792
return new_buf:12577 255
return new_buf:8421425 256
return new_buf:871008 871008
return new_buf:87 87
return new_buf:808459569 16
return new_buf:33566769 33566769
return new_buf:1048625 6912
return new_buf:823931171 823918720
return new_buf:83886080 100
return new_buf:808464651 439366016
return new_buf:385892375 385892352
return new_buf:18247 8261
return new_buf:33559552 32768
return new_buf:808464433 9
return new_buf:540745760 2112256
return new_buf:824193292 792297
return new_buf:16448 16448
return new_buf:540090417 1835136
return new_buf:825241649 808525872
return new_buf:808464433 808464384
return new_buf:67371008 1024
return new_buf:65600 16405
return new_buf:280080689 1093888
return new_buf:808455985 3152176
return new_buf:808059955 5888
return new_buf:808464433 808464432
return new_buf:3214897 1245184
return new_buf:576998490 32768
return new_buf:49 2
return new_buf:808464689 808464689
return new_buf:824193408 65536
return new_buf:2687017 128
return new_buf:824193293 3219505
return new_buf:6619135 6611425
return new_buf:3219505 32
return new_buf:3149105 3149105
return new_buf:8323072 8323072
return new_buf:808464433 808464433
return new_buf:891629582 891628336
return new_buf:275394609 274018353
return new_buf:486539317 7424
return new_buf:3205939 1081344
return new_buf:825303089 824193072
return new_buf:4218656 4218625
return new_buf:807415857 806170673
return new_buf:942682417 14384
return new_buf:1649968 256
return new_buf:1057023 1056768
return new_buf:3946 128
return new_buf:808525873 808525824
return new_buf:49 1
return new_buf:639643700 4194304
return new_buf:3211361 8960
return new_buf:809840775 809840644
return new_buf:7710 32
return new_buf:116535344 116527670
return new_buf:15544669 1638400
return new_buf:808464433 807415856
return new_buf:805318676 3219505
return new_buf:808464433 808464433
return new_buf:8388608 32768
return new_buf:839987249 839987243
return new_buf:3158445 48
return new_buf:1061375 1061375
return new_buf:1061158 1061040
return new_buf:808477747 808473376
return new_buf:2109489 2109489
return new_buf:275722289 1077040
return new_buf:65329 65329
return new_buf:808464428 512
return new_buf:875573553 167772165
return new_buf:808517656 808517656
return new_buf:3158065 65536
return new_buf:285179903 1113856
return new_buf:808464433 808464433
return new_buf:65536 8
return new_buf:825765988 825765988
return new_buf:285147648 271606842
return new_buf:549700547 549700547
return new_buf:805306368 8392704
return new_buf:16724313 8192
return new_buf:3158321 1048576
return new_buf:926431544 926431544
return new_buf:875628545 875628545
return new_buf:117473073 262144
return new_buf:8453993 8453993
return new_buf:2109745 2560
return new_buf:808464463 540094522
return new_buf:892414517 67122532
return new_buf:824193073 16774144
return new_buf:142672792 142672792
return new_buf:12341 33
return new_buf:16787519 12544
return new_buf:275004456 275004456
return new_buf:14663 14593
return new_buf:5425 28
return new_buf:131130 127
return new_buf:1107200 1107200
return new_buf:321963569 320483598
return new_buf:4158 4158
return new_buf:3158065 71
return new_buf:537132856 537132800
return new_buf:371208504 12576
return new_buf:167772160 8323072
return new_buf:808464767 352321536
return new_buf:1638144 1638144
return new_buf:892810805 892810784
return new_buf:538980478 12313
return new_buf:3158065 3145855
return new_buf:13613311 13613311
return new_buf:100664320 100664320
return new_buf:808530688 808530688
return new_buf:65587 65587
return new_buf:65536 256
return new_buf:12337 12336
return new_buf:2162436 8192
return new_buf:808529969 18153473
return new_buf:3158065 12336
return new_buf:8323072 16
return new_buf:33587284 33587284
return new_buf:14811184 1650736
return new_buf:3158272 2109696
return new_buf:65284 65280
return new_buf:681180977 674246704
return new_buf:8388678 8388678
return new_buf:926431537 128
return new_buf:255 33
return new_buf:352353329 352351332
return new_buf:473116721 8191
return new_buf:269496369 4206641
return new_buf:452997169 1114112
return new_buf:16712192 8335608
return new_buf:537997695 537997695
return new_buf:1048640 1048640
return new_buf:49 16
return new_buf:808530218 8388608
return new_buf:8320 8247
return new_buf:536871200 5376
return new_buf:3219505 3219505
return new_buf:16777216 16777216
return new_buf:83860735 83860735
return new_buf:369099903 202240
return new_buf:809578756 131072
return new_buf:494927616 65536
return new_buf:3158204 455488
return new_buf:16724017 255
return new_buf:6231088 3072
return new_buf:66790963 59136
return new_buf:805323009 4096
return new_buf:8323072 8323072
return new_buf:805437489 3146240
return new_buf:8388607 3219505
return new_buf:824193073 824193073
return new_buf:102878155 102838336
return new_buf:33554944 14680064
return new_buf:33554496 512
return new_buf:20054012 20054012
return new_buf:224 128
return new_buf:570425344 1245185
return new_buf:538980619 512
return new_buf:1048576 1048576
return new_buf:12593 248
return new_buf:32385 100
return new_buf:271654961 271593492
return new_buf:808464433 3158064
return new_buf:824193329 824193329
return new_buf:271679281 271679281
return new_buf:236 228
return new_buf:808465203 808465203
return new_buf:2111285 2110977
return new_buf:807678001 807678001
return new_buf:64784 4224
return new_buf:8388736 8388608
return new_buf:808464433 277680128
return new_buf:4197681 16384
return new_buf:3158321 56832
return new_buf:271593521 1060912
return new_buf:19935296 19935264
return new_buf:523645235 523632768
return new_buf:2109745 2109696
return new_buf:550582328 550574649
return new_buf:536892480 16777215
return new_buf:540082432 16770304
return new_buf:12608 12544
return new_buf:808566271 117440512
return new_buf:824782897 822083600
return new_buf:808464433 3158016
return new_buf:12032152 12032000
return new_buf:892613452 892613452
return new_buf:808529969 808529969
return new_buf:3219457 768
return new_buf:808463934 808463873
return new_buf:15630207 8292
return new_buf:808530225 8388608
return new_buf:822083584 822083584
return new_buf:808464433 16
return new_buf:1191985 1191985
return new_buf:540094513 540090416
return new_buf:65551 65551
return new_buf:3158321 1376256
return new_buf:372299313 371404804
return new_buf:262144 1024
return new_buf:3223808 3211266
return new_buf:808464433 805306368
return new_buf:538259505 538128433
return new_buf:16777299 16777220
return new_buf:12851 4096
return new_buf:33554737 12352
return new_buf:16789760 81920
return new_buf:419430425 419430425
return new_buf:707869472 2097152
return new_buf:824193280 3219505
return new_buf:822083633 16711680
return new_buf:16394 16394
return new_buf:3226684 3212032
return new_buf:3682353 65504
return new_buf:2109489 65536
return new_buf:65537000 65537000
return new_buf:251671053 32
return new_buf:808464433 808464384
return new_buf:115355953 5078816
return new_buf:6571825 240
return new_buf:816918902 808452100
return new_buf:522 238
return new_buf:256049 254257
return new_buf:942682161 822345776
return new_buf:388609841 3211264
return new_buf:808464433 16645888
return new_buf:11730944 10158080
return new_buf:16777216 16777216
return new_buf:808452433 3158017
return new_buf:24510463 373
return new_buf:421212209 421212181
return new_buf:976691300 56832
return new_buf:32512 256
return new_buf:5 2
return new_buf:327688241 57856
return new_buf:808464433 808464433
return new_buf:16518 2560
return new_buf:556927 2175
return new_buf:808517631 1792
return new_buf:862348902 862348849
return new_buf:824193329 23
return new_buf:3158065 3158065
return new_buf:3219505 32618
return new_buf:12 12
